id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.province,children_count.municipality,children_count.barangay,zip_codes,geo.lat,geo.lon
012931,3,Bayan,Municipality,Sugpon,Sugpon,sugpon-012931,012931,,012900,Ilocos Sur,Ilocos Sur,,,,6,,16.85,120.517
012932,3,Bayan,Municipality,Suyo,Suyo,suyo-012932,012932,,012900,Ilocos Sur,Ilocos Sur,,,,8,,16.98,120.52694
012933,3,Bayan,Municipality,Tagudin,Tagudin,tagudin-012933,012933,,012900,Ilocos Sur,Ilocos Sur,,,,43,,16.933,120.45
012934,3,Bayan,Municipality,Vigan,Vigan,vigan-012934,012934,,012900,Ilocos Sur,Ilocos Sur,,,,39,,17.57,120.38
013300,2,Lalawigan,Province,La Union,La Union,la-union-013300,013300,,R01,Ilocos Region,Ilocos Region,,,20,576,,16.2124,120.657
013301,3,Bayan,Municipality,Agoo,Agoo,agoo-013301,013301,,013300,La Union,La Union,,,,49,,16.325,120.36861
013302,3,Bayan,Municipality,Aringay,Aringay,aringay-013302,013302,,013300,La Union,La Union,,,,24,,16.383,120.417
013303,3,Bayan,Municipality,Bacnotan,Bacnotan,bacnotan-013303,013303,,013300,La Union,La Union,,,,47,,16.717,120.35
013304,3,Bayan,Municipality,Bagulin,Bagulin,bagulin-013304,013304,,013300,La Union,La Union,,,,10,,16.60833,120.43944
013305,3,Bayan,Municipality,Balaoan,Balaoan,balaoan-013305,013305,,013300,La Union,La Union,,,,36,,16.817,120.4
013306,3,Bayan,Municipality,Bangar,Bangar,bangar-013306,013306,,013300,La Union,La Union,,,,33,,16.89806,120.42306
013307,3,Bayan,Municipality,Bauang,Bauang,bauang-013307,013307,,013300,La Union,La Union,,,,39,,16.53083,120.33306
013308,3,Bayan,Municipality,Burgos,Burgos,burgos-013308,013308,,013300,La Union,La Union,,,,12,,16.517,120.467
013309,3,Bayan,Municipality,Caba,Caba,caba-013309,013309,,013300,La Union,La Union,,,,17,,16.433,120.35
013310,3,Bayan,Municipality,Luna,Luna,luna-013310,013310,,013300,La Union,La Union,,,,40,,16.85389,120.38111
013311,3,Bayan,Municipality,Naguilian,Naguilian,naguilian-013311,013311,,013300,La Union,La Union,,,,37,,16.533,120.4
013312,3,Bayan,Municipality,Pugo,Pugo,pugo-013312,013312,,013300,La Union,La Union,,,,14,,16.283,120.483
013313,3,Bayan,Municipality,Rosario,Rosario,rosario-013313,013313,,013300,La Union,La Union,,,,33,,16.23194,120.48806
013314,3,Bayan,Municipality,San Fernando,San Fernando,san-fernando-013314,013314,,013300,La Union,La Union,,,,59,,16.7847,121.7181
013315,3,Bayan,Municipality,San Gabriel,San Gabriel,san-gabriel-013315,013315,,013300,La Union,La Union,,,,15,,16.675,120.4
013316,3,Bayan,Municipality,San Juan,San Juan,san-juan-013316,013316,,013300,La Union,La Union,,,,41,,16.66889,120.34111
013317,3,Bayan,Municipality,Santo Tomas,Santo Tomas,santo-tomas-013317,013317,,013300,La Union,La Union,,,,24,,16.26361,120.39389
013318,3,Bayan,Municipality,Santol,Santol,santol-013318,013318,,013300,La Union,La Union,,,,11,,16.767,120.45
013319,3,Bayan,Municipality,Sudipen,Sudipen,sudipen-013319,013319,,013300,La Union,La Union,,,,17,,16.9,120.45
013320,3,Bayan,Municipality,Tubao,Tubao,tubao-013320,013320,,013300,La Union,La Union,,,,18,,16.35,120.417
015500,2,Lalawigan,Province,Pangasinan,Pangasinan,pangasinan-015500,015500,,R01,Ilocos Region,Ilocos Region,,,48,1364,,15.8555,120.4978
015501,3,Bayan,Municipality,Agno,Agno,agno-015501,015501,,015500,Pangasinan,Pangasinan,,,,17,,16.117,119.8
015502,3,Bayan,Municipality,Aguilar,Aguilar,aguilar-015502,015502,,015500,Pangasinan,Pangasinan,,,,16,,15.833,120.2
015503,3,Bayan,Municipality,Alaminos,Alaminos,alaminos-015503,015503,,015500,Pangasinan,Pangasinan,,,,39,,14.06306,121.24806
015504,3,Bayan,Municipality,Alcala,Alcala,alcala-015504,015504,,015500,Pangasinan,Pangasinan,,,,21,,15.84722,120.52417
015505,3,Bayan,Municipality,Anda,Anda,anda-015505,015505,,015500,Pangasinan,Pangasinan,,,,18,,16.283,119.967
015506,3,Bayan,Municipality,Asingan,Asingan,asingan-015506,015506,,015500,Pangasinan,Pangasinan,,,,21,,16,120.667
015507,3,Bayan,Municipality,Balungao,Balungao,balungao-015507,015507,,015500,Pangasinan,Pangasinan,,,,20,,15.9,120.7
015508,3,Bayan,Municipality,Bani,Bani,bani-015508,015508,,015500,Pangasinan,Pangasinan,,,,27,,16.2,119.85
015509,3,Bayan,Municipality,Basista,Basista,basista-015509,015509,,015500,Pangasinan,Pangasinan,,,,13,,15.85,120.4
015510,3,Bayan,Municipality,Bautista,Bautista,bautista-015510,015510,,015500,Pangasinan,Pangasinan,,,,18,,15.783,120.5
015511,3,Bayan,Municipality,Bayambang,Bayambang,bayambang-015511,015511,,015500,Pangasinan,Pangasinan,,,,77,,15.81056,120.45472
015512,3,Bayan,Municipality,Binalonan,Binalonan,binalonan-015512,015512,,015500,Pangasinan,Pangasinan,,,,24,,16.05,120.6
015513,3,Bayan,Municipality,Binmaley,Binmaley,binmaley-015513,015513,,015500,Pangasinan,Pangasinan,,,,33,,16.033,120.267
015514,3,Bayan,Municipality,Bolinao,Bolinao,bolinao-015514,015514,,015500,Pangasinan,Pangasinan,,,,30,,16.333,119.883
